recordTime,theDateStr,_Value,value_jian,value_feng,value_ping,value_gu,value_optimize_recommendation
2024-07-18T00:00:00,00:00:00,,0.0,0.0,0.0,0.0,23.0
2024-07-18T00:15:00,00:15:00,,0.0,0.0,0.0,0.0,21.0
2024-07-18T00:30:00,00:30:00,,0.0,0.0,0.0,0.0,22.0
2024-07-18T00:45:00,00:45:00,,0.0,0.0,0.0,0.0,23.0
2024-07-18T01:00:00,01:00:00,,0.0,0.0,0.0,0.0,24.0
2024-07-18T01:15:00,01:15:00,,0.0,0.0,0.0,0.0,25.0
2024-07-18T01:30:00,01:30:00,,0.0,0.0,0.0,0.0,26.0
2024-07-18T01:45:00,01:45:00,,0.0,0.0,0.0,0.0,27.0
2024-07-18T02:00:00,02:00:00,,0.0,0.0,0.0,0.0,28.0
2024-07-18T02:15:00,02:15:00,,0.0,0.0,0.0,0.0,29.0
2024-07-18T02:30:00,02:30:00,,0.0,0.0,0.0,0.0,30.0
2024-07-18T02:45:00,02:45:00,,0.0,0.0,0.0,0.0,31.0
2024-07-18T03:00:00,03:00:00,,0.0,0.0,0.0,0.0,32.0
2024-07-18T03:15:00,03:15:00,,0.0,0.0,0.0,0.0,33.0
2024-07-18T03:30:00,03:30:00,,0.0,0.0,0.0,0.0,34.0
2024-07-18T03:45:00,03:45:00,,0.0,0.0,0.0,0.0,35.0
2024-07-18T04:00:00,04:00:00,,0.0,0.0,0.0,0.0,36.0
2024-07-18T04:15:00,04:15:00,,0.0,0.0,0.0,0.0,37.0
2024-07-18T04:30:00,04:30:00,,0.0,0.0,0.0,0.0,38.0
2024-07-18T04:45:00,04:45:00,,0.0,0.0,0.0,0.0,39.0
2024-07-18T05:00:00,05:00:00,,0.0,0.0,0.0,0.0,40.0
2024-07-18T05:15:00,05:15:00,,0.0,0.0,0.0,0.0,41.0
2024-07-18T05:30:00,05:30:00,,0.0,0.0,0.0,0.0,42.0
2024-07-18T05:45:00,05:45:00,,0.0,0.0,0.0,0.0,43.0
2024-07-18T06:00:00,06:00:00,,0.0,0.0,0.0,0.0,44.0
2024-07-18T06:15:00,06:15:00,,0.0,0.0,0.0,0.0,45.0
2024-07-18T06:30:00,06:30:00,,0.0,0.0,0.0,0.0,46.0
2024-07-18T06:45:00,06:45:00,,0.0,0.0,0.0,0.0,47.0
2024-07-18T07:00:00,07:00:00,,0.0,0.0,0.0,0.0,48.0
2024-07-18T07:15:00,07:15:00,,0.0,0.0,0.0,0.0,49.0
2024-07-18T07:30:00,07:30:00,,0.0,0.0,0.0,0.0,50.0
2024-07-18T07:45:00,07:45:00,,0.0,0.0,0.0,0.0,70.0
2024-07-18T08:00:00,08:00:00,,0.0,0.0,0.0,0.0,73.0
2024-07-18T08:15:00,08:15:00,,0.0,0.0,0.0,0.0,76.0
2024-07-18T08:30:00,08:30:00,,0.0,0.0,0.0,0.0,79.0
2024-07-18T08:45:00,08:45:00,,0.0,0.0,0.0,0.0,82.0
2024-07-18T09:00:00,09:00:00,,0.0,0.0,0.0,0.0,85.0
2024-07-18T09:15:00,09:15:00,,0.0,0.0,0.0,0.0,88.0
2024-07-18T09:30:00,09:30:00,,0.0,0.0,0.0,0.0,91.0
2024-07-18T09:45:00,09:45:00,,0.0,0.0,0.0,0.0,94.0
2024-07-18T10:00:00,10:00:00,,0.0,0.0,0.0,0.0,97.0
2024-07-18T10:15:00,10:15:00,,0.0,0.0,0.0,0.0,100.0
2024-07-18T10:30:00,10:30:00,,0.0,0.0,0.0,0.0,103.0
2024-07-18T10:45:00,10:45:00,,0.0,0.0,0.0,0.0,106.0
2024-07-18T11:00:00,11:00:00,,0.0,0.0,0.0,0.0,109.0
2024-07-18T11:15:00,11:15:00,,0.0,0.0,0.0,0.0,112.0
2024-07-18T11:30:00,11:30:00,,0.0,0.0,0.0,0.0,115.0
2024-07-18T11:45:00,11:45:00,,0.0,0.0,0.0,0.0,118.0
2024-07-18T12:00:00,12:00:00,,0.0,0.0,0.0,0.0,121.0
2024-07-18T12:15:00,12:15:00,,0.0,0.0,0.0,0.0,124.0
2024-07-18T12:30:00,12:30:00,,0.0,0.0,0.0,0.0,127.0
2024-07-18T12:45:00,12:45:00,,0.0,0.0,0.0,0.0,130.0
2024-07-18T13:00:00,13:00:00,,0.0,0.0,0.0,0.0,133.0
2024-07-18T13:15:00,13:15:00,,0.0,0.0,0.0,0.0,136.0
2024-07-18T13:30:00,13:30:00,,0.0,0.0,0.0,0.0,139.0
2024-07-18T13:45:00,13:45:00,,0.0,0.0,0.0,0.0,142.0
2024-07-18T14:00:00,14:00:00,,0.0,0.0,0.0,0.0,145.0
2024-07-18T14:15:00,14:15:00,,0.0,0.0,0.0,0.0,148.0
2024-07-18T14:30:00,14:30:00,,0.0,0.0,0.0,0.0,151.0
2024-07-18T14:45:00,14:45:00,,0.0,0.0,0.0,0.0,154.0
2024-07-18T15:00:00,15:00:00,,0.0,0.0,0.0,0.0,151.0
2024-07-18T15:15:00,15:15:00,,0.0,0.0,0.0,0.0,148.0
2024-07-18T15:30:00,15:30:00,,0.0,0.0,0.0,0.0,145.0
2024-07-18T15:45:00,15:45:00,,0.0,0.0,0.0,0.0,142.0
2024-07-18T16:00:00,16:00:00,,0.0,0.0,0.0,0.0,139.0
2024-07-18T16:15:00,16:15:00,,0.0,0.0,0.0,0.0,136.0
2024-07-18T16:30:00,16:30:00,,0.0,0.0,0.0,0.0,133.0
2024-07-18T16:45:00,16:45:00,,0.0,0.0,0.0,0.0,130.0
2024-07-18T17:00:00,17:00:00,,0.0,0.0,0.0,0.0,127.0
2024-07-18T17:15:00,17:15:00,,0.0,0.0,0.0,0.0,124.0
2024-07-18T17:30:00,17:30:00,,0.0,0.0,0.0,0.0,121.0
2024-07-18T17:45:00,17:45:00,,0.0,0.0,0.0,0.0,118.0
2024-07-18T18:00:00,18:00:00,,0.0,0.0,0.0,0.0,115.0
2024-07-18T18:15:00,18:15:00,,0.0,0.0,0.0,0.0,112.0
2024-07-18T18:30:00,18:30:00,,0.0,0.0,0.0,0.0,109.0
2024-07-18T18:45:00,18:45:00,,0.0,0.0,0.0,0.0,106.0
2024-07-18T19:00:00,19:00:00,,0.0,0.0,0.0,0.0,103.0
2024-07-18T19:15:00,19:15:00,,0.0,0.0,0.0,0.0,100.0
2024-07-18T19:30:00,19:30:00,,0.0,0.0,0.0,0.0,97.0
2024-07-18T19:45:00,19:45:00,,0.0,0.0,0.0,0.0,94.0
2024-07-18T20:00:00,20:00:00,,0.0,0.0,0.0,0.0,61.0
2024-07-18T20:15:00,20:15:00,,0.0,0.0,0.0,0.0,60.0
2024-07-18T20:30:00,20:30:00,,0.0,0.0,0.0,0.0,59.0
2024-07-18T20:45:00,20:45:00,,0.0,0.0,0.0,0.0,58.0
2024-07-18T21:00:00,21:00:00,,0.0,0.0,0.0,0.0,57.0
2024-07-18T21:15:00,21:15:00,,0.0,0.0,0.0,0.0,56.0
2024-07-18T21:30:00,21:30:00,,0.0,0.0,0.0,0.0,55.0
2024-07-18T21:45:00,21:45:00,,0.0,0.0,0.0,0.0,54.0
2024-07-18T22:00:00,22:00:00,,0.0,0.0,0.0,0.0,53.0
2024-07-18T22:15:00,22:15:00,,0.0,0.0,0.0,0.0,52.0
2024-07-18T22:30:00,22:30:00,,0.0,0.0,0.0,0.0,51.0
2024-07-18T22:45:00,22:45:00,,0.0,0.0,0.0,0.0,50.0
2024-07-18T23:00:00,23:00:00,,0.0,0.0,0.0,0.0,49.0
2024-07-18T23:15:00,23:15:00,,0.0,0.0,0.0,0.0,48.0
2024-07-18T23:30:00,23:30:00,,0.0,0.0,0.0,0.0,47.0
2024-07-18T23:45:00,23:45:00,,0.0,0.0,0.0,0.0,46.0
